Variant,Fee (bps),CAGR,Vol,Sharpe,MaxDD
Buy & Hold,0,27.8%,86.5%,0.71,-88.4%
Buy & Hold,5,27.8%,86.5%,0.71,-88.4%
Buy & Hold,10,27.8%,86.5%,0.71,-88.4%
Buy & Hold,20,27.8%,86.5%,0.71,-88.4%
Daily,0,33.9%,75.1%,0.77,-80.6%
Daily,5,33.5%,75.1%,0.76,-80.7%
Daily,10,33.1%,75.1%,0.76,-80.8%
Daily,20,32.2%,75.1%,0.75,-81.0%
Weekly,0,36.8%,75.8%,0.79,-80.8%
Weekly,5,36.6%,75.8%,0.79,-80.8%
Weekly,10,36.4%,75.8%,0.79,-80.8%
Weekly,20,36.0%,75.8%,0.79,-80.9%
Monthly,0,39.7%,76.7%,0.82,-81.3%
Monthly,5,39.6%,76.7%,0.82,-81.3%
Monthly,10,39.5%,76.7%,0.82,-81.3%
Monthly,20,39.3%,76.7%,0.81,-81.3%
