variant,window,fee_bps_per_fill,n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,mean_return_bps,hit_rate,tstat_mean,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof
primary_22_00_fee_0bps,22-00,0,697,-0.032983624786152244,-0.017410563416605296,0.11836960467529596,-0.08919550303155954,-0.14267674956686915,-2.892612721276676e-05,-0.2892612721276676,0.4720229555236729,-0.12316892378136567,365.0,0.0,1e-12,0
primary_22_00_fee_1bps,22-00,1,697,-0.15883141212999619,-0.08659520274449994,0.11836960467529596,-0.7059078778025062,-0.20560303306892325,-0.00022892612721276656,-2.2892612721276655,0.4562410329985653,-0.974779116016184,365.0,0.0,1e-12,0
primary_22_00_fee_5bps,22-00,5,697,-0.5185416550413529,-0.318031038972695,0.11836960467529596,-3.1727573768862976,-0.5191880013983227,-0.0010289261272127673,-10.289261272127673,0.3931133428981349,-4.381219884955464,365.0,0.0,1e-12,0
primary_22_00_fee_10bps,22-00,10,697,-0.7604587858518674,-0.5268506324078307,0.11836960467529598,-6.256319250741032,-0.7604587858518674,-0.002028926127212767,-20.28926127212767,0.3242467718794835,-8.639270846129559,365.0,0.0,1e-12,0
primary_22_00_fee_20bps,22-00,20,697,-0.9408287450408626,-0.7724966943725086,0.11836960467529596,-12.423442998450506,-0.9408287450408626,-0.004028926127212768,-40.289261272127675,0.19225251076040173,-17.155372768477754,365.0,0.0,1e-12,0
buyhold_gross,buyhold,,697,0.08180578057511445,0.04203681124933434,0.44616135432141524,0.31516406141930225,-0.5281556945778261,0.00038524390267472225,3.8524390267472226,0.5021520803443329,0.4352060018748344,365.0,0.0,1e-12,0
placebo_00-02_fee_0bps,00-02,0,696,-0.01403157555340584,-0.007383235882528538,0.13308257073875338,0.011130269652268578,-0.176747873079649,4.058205200929954e-06,0.04058205200929954,0.5086206896551724,0.015358600933347616,365.0,0.0,1e-12,0
placebo_00-02_fee_1bps,00-02,1,696,-0.1421715188237318,-0.07727238579496976,0.13308257073875338,-0.5374013644660861,-0.2279227472840566,-0.00019594179479906986,-1.9594179479906986,0.4885057471264368,-0.7415573347038211,365.0,0.0,1e-12,0
placebo_00-02_fee_5bps,00-02,5,696,-0.5086066691829625,-0.3110658706874193,0.13308257073875338,-2.731527900939508,-0.516629528236789,-0.0009959417947990705,-9.959417947990705,0.4281609195402299,-3.769221077252501,365.0,0.0,1e-12,0
placebo_00-02_fee_10bps,00-02,10,696,-0.755266967098325,-0.5220142635315939,0.13308257073875338,-5.4741860715312844,-0.755266967098325,-0.0019959417947990705,-19.959417947990705,0.34339080459770116,-7.553800755438348,365.0,0.0,1e-12,0
placebo_00-02_fee_20bps,00-02,20,696,-0.9394229556650959,-0.7701674346124009,0.13308257073875338,-10.959502412714839,-0.9394229556650959,-0.003995941794799071,-39.959417947990715,0.20689655172413793,-15.122960111810047,365.0,0.0,1e-12,0
placebo_02-04_fee_0bps,02-04,0,695,0.1536304225029559,0.07794395345317051,0.1213671958855661,0.6788324388961885,-0.11111076241730478,0.00022572051941093232,2.257205194109323,0.5194244604316547,0.9360431953325231,365.0,0.0,1e-12,0
placebo_02-04_fee_1bps,02-04,1,695,0.003933483285768258,0.0020638607759762007,0.1213671958855661,0.07735195261363732,-0.15092755416377301,2.572051941093247e-05,0.2572051941093247,0.5079136690647482,0.10666073796858082,365.0,0.0,1e-12,0
placebo_02-04_fee_5bps,02-04,5,695,-0.4243783717006565,-0.2517808168609602,0.1213671958855661,-2.328569992516571,-0.43779804448589477,-0.0007742794805890682,-7.742794805890682,0.42158273381294964,-3.2108690914871936,365.0,0.0,1e-12,0
placebo_02-04_fee_10bps,02-04,10,695,-0.7129846210001625,-0.4808382184332243,0.1213671958855661,-5.335972423929329,-0.7129846210001625,-0.0017742794805890682,-17.742794805890682,0.32230215827338127,-7.357781378306908,365.0,0.0,1e-12,0
placebo_02-04_fee_20bps,02-04,20,695,-0.9287914974619603,-0.7503262733379135,0.1213671958855661,-11.350777286754843,-0.9287914974619603,-0.003774279480589068,-37.742794805890675,0.19424460431654678,-15.651605951946335,365.0,0.0,1e-12,0
