n_obs,total_return,cagr,vol,sharpe,max_dd,mean_return,annualization_factor,risk_free_rate,vol_eps,sharpe_ddof,variant,cohort,frequency,fee_bps,avg_annual_risky_traded_notional,total_risky_traded_notional,n_rebalances,initial_establishment,period
2172,3.2666130975809997,0.27609838132187736,0.8647890550487529,0.7100496575614557,-0.8842404460307504,0.0016823100613705803,365.0,0.0,1e-12,0,full_common_12_buyhold_fee0,full_common_12,buyhold,0,0.1680478821362799,1.0,1,1.0,full_cohort_window
2172,4.577708372035794,0.33487413135053345,0.7507364648370888,0.7611288074343484,-0.8064752354827731,0.0015654990415861151,365.0,0.0,1e-12,0,full_common_12_daily_fee0,full_common_12,daily,0,6.506942317851897,38.72076360102554,2172,1.0,full_cohort_window
2172,5.322740194521605,0.36329689516768227,0.7579729149455284,0.7885473292425453,-0.807575285405383,0.0016375274458040644,365.0,0.0,1e-12,0,full_common_12_weekly_fee0,full_common_12,weekly,0,2.8132738423699455,16.74090626199321,311,1.0,full_cohort_window
2172,6.175392260869546,0.39258928274693705,0.7672483499949865,0.8145931147381914,-0.8126026439282501,0.0017123156800004224,365.0,0.0,1e-12,0,full_common_12_monthly_fee0,full_common_12,monthly,0,1.6327044403545459,9.71570971082212,73,1.0,full_cohort_window
3134,2.050867756757603,0.1387231944912255,0.8875846926782934,0.5980267794380141,-0.9054836634589513,0.001454244973262683,365.0,0.0,1e-12,0,start_2018_no_dot_buyhold_fee0,start_2018_no_dot,buyhold,0,0.11646458200382898,1.0,1,1.0,full_cohort_window
3134,3.79030543366565,0.2001574249804261,0.7963557596618727,0.6322576554430291,-0.896191379047116,0.0013794576041160768,365.0,0.0,1e-12,0,start_2018_no_dot_daily_fee0,start_2018_no_dot,daily,0,6.749280701340026,57.95135813150586,3134,1.0,full_cohort_window
3134,4.727969292457544,0.22540664904010388,0.8025936221447699,0.6590823274388942,-0.8906915573149128,0.0014492473218377737,365.0,0.0,1e-12,0,start_2018_no_dot_weekly_fee0,start_2018_no_dot,weekly,0,2.915435146371877,25.032804791039624,448,1.0,full_cohort_window
3134,5.217970147509189,0.23717733813574204,0.8106731262936704,0.6712779915822111,-0.9003317234766308,0.001490923364515308,365.0,0.0,1e-12,0,start_2018_no_dot_monthly_fee0,start_2018_no_dot,monthly,0,1.6212684751362298,13.92069972897793,104,1.0,full_cohort_window
2404,8.449485573526845,0.4063599747166544,0.8479936921744051,0.8292444125429473,-0.8727382790971037,0.00192655898933504,365.0,0.0,1e-12,0,start_2020_no_dot_buyhold_fee0,start_2020_no_dot,buyhold,0,0.15183028286189684,1.0,1,1.0,full_cohort_window
2404,15.302439539007583,0.5277653463487006,0.7624595820280687,0.9418007188381404,-0.8029374810840549,0.0019673561162714065,365.0,0.0,1e-12,0,start_2020_no_dot_daily_fee0,start_2020_no_dot,daily,0,6.422983963883306,42.30370807993279,2404,1.0,full_cohort_window
2404,17.48921332553291,0.5572437054746326,0.7697702543180469,0.9646130168505196,-0.805756675629079,0.0020343298830123916,365.0,0.0,1e-12,0,start_2020_no_dot_weekly_fee0,start_2020_no_dot,weekly,0,2.778812209098774,18.302094659379325,344,1.0,full_cohort_window
2404,20.511068865483743,0.5934500237094531,0.7807570716126021,0.9897705124613523,-0.8111221809048917,0.0021171789777474797,365.0,0.0,1e-12,0,start_2020_no_dot_monthly_fee0,start_2020_no_dot,monthly,0,1.5985424384984914,10.528482252466777,80,1.0,full_cohort_window
2172,3.6300191315196235,0.293748256402951,0.8881008249388195,0.7249674958640473,-0.8873452463956701,0.0017639567976183307,365.0,0.0,1e-12,0,exclude_dot_same_window_buyhold_fee0,exclude_dot_same_window,buyhold,0,0.1680478821362799,1.0,1,1.0,full_cohort_window
2172,5.639314683614518,0.3745358506172334,0.7474222362388249,0.7991958531421797,-0.8029374810840549,0.001636539045885818,365.0,0.0,1e-12,0,exclude_dot_same_window_daily_fee0,exclude_dot_same_window,daily,0,6.443173176488864,38.3412935324214,2172,1.0,full_cohort_window
2172,6.419247374653478,0.40043233503134634,0.7552310577148962,0.8230770063530403,-0.805756675629079,0.0017030501865447042,365.0,0.0,1e-12,0,exclude_dot_same_window_weekly_fee0,exclude_dot_same_window,weekly,0,2.7816803083022275,16.55290309488339,311,1.0,full_cohort_window
2172,7.566033486432508,0.4346688355161663,0.7670698372221936,0.8517743421694547,-0.811122180904892,0.0017900559068437388,365.0,0.0,1e-12,0,exclude_dot_same_window_monthly_fee0,exclude_dot_same_window,monthly,0,1.6142706013165697,9.606015742629012,73,1.0,full_cohort_window
